,background,params,distance
25,1_frame_hard,"{'h': 0.3, 'c': 1.7, 'b': 1.1}",124053.32020496548
22,1_frame_hard,"{'h': 0.3, 'c': 1.1, 'b': 1.1}",124053.32020496548
19,1_frame_hard,"{'h': 0.3, 'c': 0.4, 'b': 1.1}",124053.32020496548
34,1_frame_hard,"{'h': 0.4, 'c': 1.7, 'b': 1.1}",118848.17581574437
31,1_frame_hard,"{'h': 0.4, 'c': 1.1, 'b': 1.1}",118848.17581574437
28,1_frame_hard,"{'h': 0.4, 'c': 0.4, 'b': 1.1}",118848.17581574437
20,1_frame_hard,"{'h': 0.3, 'c': 0.4, 'b': 1.7}",115118.24054489206
26,1_frame_hard,"{'h': 0.3, 'c': 1.7, 'b': 1.7}",115118.24054489206
23,1_frame_hard,"{'h': 0.3, 'c': 1.1, 'b': 1.7}",115118.24054489206
16,1_frame_hard,"{'h': 0.2, 'c': 1.7, 'b': 1.1}",114295.71617711327
10,1_frame_hard,"{'h': 0.2, 'c': 0.4, 'b': 1.1}",114295.71617711327
13,1_frame_hard,"{'h': 0.2, 'c': 1.1, 'b': 1.1}",114295.71617711327
14,1_frame_hard,"{'h': 0.2, 'c': 1.1, 'b': 1.7}",108675.72881722794
17,1_frame_hard,"{'h': 0.2, 'c': 1.7, 'b': 1.7}",108675.72881722794
11,1_frame_hard,"{'h': 0.2, 'c': 0.4, 'b': 1.7}",108675.72881722794
29,1_frame_hard,"{'h': 0.4, 'c': 0.4, 'b': 1.7}",104176.17838261323
32,1_frame_hard,"{'h': 0.4, 'c': 1.1, 'b': 1.7}",104176.17838261323
35,1_frame_hard,"{'h': 0.4, 'c': 1.7, 'b': 1.7}",104176.17838261323
24,1_frame_hard,"{'h': 0.3, 'c': 1.7, 'b': 0.4}",96858.53010349198
21,1_frame_hard,"{'h': 0.3, 'c': 1.1, 'b': 0.4}",96858.53010349198
18,1_frame_hard,"{'h': 0.3, 'c': 0.4, 'b': 0.4}",96858.53010349198
15,1_frame_hard,"{'h': 0.2, 'c': 1.7, 'b': 0.4}",96824.13244418855
12,1_frame_hard,"{'h': 0.2, 'c': 1.1, 'b': 0.4}",96824.13244418855
9,1_frame_hard,"{'h': 0.2, 'c': 0.4, 'b': 0.4}",96824.13244418855
27,1_frame_hard,"{'h': 0.4, 'c': 0.4, 'b': 0.4}",95896.21963978694
30,1_frame_hard,"{'h': 0.4, 'c': 1.1, 'b': 0.4}",95896.21963978694
33,1_frame_hard,"{'h': 0.4, 'c': 1.7, 'b': 0.4}",95896.21963978694
0,1_frame_hard,"{'h': 0.1, 'c': 0.4, 'b': 0.4}",88704.91691895628
6,1_frame_hard,"{'h': 0.1, 'c': 1.7, 'b': 0.4}",88704.91691895628
3,1_frame_hard,"{'h': 0.1, 'c': 1.1, 'b': 0.4}",88704.91691895628
40,1_frame_hard,"{'h': 0.5, 'c': 1.1, 'b': 1.1}",88581.83076879707
43,1_frame_hard,"{'h': 0.5, 'c': 1.7, 'b': 1.1}",88581.83076879707
37,1_frame_hard,"{'h': 0.5, 'c': 0.4, 'b': 1.1}",88581.83076879707
2,1_frame_hard,"{'h': 0.1, 'c': 0.4, 'b': 1.7}",87892.27013793238
5,1_frame_hard,"{'h': 0.1, 'c': 1.1, 'b': 1.7}",87892.27013793238
8,1_frame_hard,"{'h': 0.1, 'c': 1.7, 'b': 1.7}",87892.27013793238
39,1_frame_hard,"{'h': 0.5, 'c': 1.1, 'b': 0.4}",84059.02719837827
36,1_frame_hard,"{'h': 0.5, 'c': 0.4, 'b': 0.4}",84059.02719837827
42,1_frame_hard,"{'h': 0.5, 'c': 1.7, 'b': 0.4}",84059.02719837827
72,1_frame_hard,"{'h': -0.45, 'c': 0.4, 'b': 0.4}",77049.92847943616
75,1_frame_hard,"{'h': -0.45, 'c': 1.1, 'b': 0.4}",77049.92847943616
78,1_frame_hard,"{'h': -0.45, 'c': 1.7, 'b': 0.4}",77049.92847943616
44,1_frame_hard,"{'h': 0.5, 'c': 1.7, 'b': 1.7}",76227.08978106895
38,1_frame_hard,"{'h': 0.5, 'c': 0.4, 'b': 1.7}",76227.08978106895
41,1_frame_hard,"{'h': 0.5, 'c': 1.1, 'b': 1.7}",76227.08978106895
63,1_frame_hard,"{'h': -0.35, 'c': 0.4, 'b': 0.4}",73077.6597255522
66,1_frame_hard,"{'h': -0.35, 'c': 1.1, 'b': 0.4}",73077.6597255522
