,background,params,mean,std
7,Evaluation_results/video0,"{'h': 0.2, 'b': 1.5, 'c': 1.5}",860.244837140089,3.8567665112208616
5,Evaluation_results/video0,"{'h': 0.2, 'b': 1.5, 'c': 0.5}",851.8093417554279,7.950726992406249
1,Evaluation_results/video0,"{'h': 0.1, 'b': 1.5, 'c': 0.5}",848.7600881988462,10.426657175680035
3,Evaluation_results/video0,"{'h': 0.1, 'b': 1.5, 'c': 1.5}",776.9142804300091,50.39518870282116
9,Evaluation_results/video0,"{'h': 0.3, 'b': 1.5, 'c': 0.5}",753.4799988441816,41.366722879443
6,Evaluation_results/video0,"{'h': 0.2, 'b': 0.5, 'c': 1.5}",735.1854833699986,46.61768451501017
8,Evaluation_results/video0,"{'h': 0.3, 'b': 0.5, 'c': 0.5}",708.9277802957845,98.64516714507717
4,Evaluation_results/video0,"{'h': 0.2, 'b': 0.5, 'c': 0.5}",706.3138615087366,75.99677562225529
10,Evaluation_results/video0,"{'h': 0.3, 'b': 0.5, 'c': 1.5}",701.2776019743366,101.7155193029301
2,Evaluation_results/video0,"{'h': 0.1, 'b': 0.5, 'c': 1.5}",636.1006759227313,91.101443012272
0,Evaluation_results/video0,"{'h': 0.1, 'b': 0.5, 'c': 0.5}",630.7243721043707,103.82581030117176
16,Evaluation_results/video0,"{'h': 0.5, 'b': 0.5, 'c': 0.5}",542.9012087462677,120.17341375521092
12,Evaluation_results/video0,"{'h': 0.4, 'b': 0.5, 'c': 0.5}",539.7477256770436,122.65379566585779
14,Evaluation_results/video0,"{'h': 0.4, 'b': 0.5, 'c': 1.5}",446.6588775604381,122.17234675608366
18,Evaluation_results/video0,"{'h': 0.5, 'b': 0.5, 'c': 1.5}",233.548663360067,83.18267598365314
15,Evaluation_results/video0,"{'h': 0.4, 'b': 1.5, 'c': 1.5}",193.89527191110014,62.70348686521487
13,Evaluation_results/video0,"{'h': 0.4, 'b': 1.5, 'c': 0.5}",167.772743901882,42.78225766145414
11,Evaluation_results/video0,"{'h': 0.3, 'b': 1.5, 'c': 1.5}",129.41142448314338,45.007665523970154
17,Evaluation_results/video0,"{'h': 0.5, 'b': 1.5, 'c': 0.5}",119.32788245698815,40.405638089056374
19,Evaluation_results/video0,"{'h': 0.5, 'b': 1.5, 'c': 1.5}",76.02629059166145,1.447775471659963
