,params
7,"{'h': 0.2, 'b': 1.5, 'c': 1.5}"
3,"{'h': 0.1, 'b': 1.5, 'c': 1.5}"
0,"{'h': 0.1, 'b': 0.5, 'c': 0.5}"
4,"{'h': 0.2, 'b': 0.5, 'c': 0.5}"
10,"{'h': 0.3, 'b': 0.5, 'c': 1.5}"
8,"{'h': 0.3, 'b': 0.5, 'c': 0.5}"
12,"{'h': 0.4, 'b': 0.5, 'c': 0.5}"
6,"{'h': 0.2, 'b': 0.5, 'c': 1.5}"
2,"{'h': 0.1, 'b': 0.5, 'c': 1.5}"
16,"{'h': 0.5, 'b': 0.5, 'c': 0.5}"
1,"{'h': 0.1, 'b': 1.5, 'c': 0.5}"
14,"{'h': 0.4, 'b': 0.5, 'c': 1.5}"
5,"{'h': 0.2, 'b': 1.5, 'c': 0.5}"
18,"{'h': 0.5, 'b': 0.5, 'c': 1.5}"
11,"{'h': 0.3, 'b': 1.5, 'c': 1.5}"
13,"{'h': 0.4, 'b': 1.5, 'c': 0.5}"
15,"{'h': 0.4, 'b': 1.5, 'c': 1.5}"
9,"{'h': 0.3, 'b': 1.5, 'c': 0.5}"
17,"{'h': 0.5, 'b': 1.5, 'c': 0.5}"
19,"{'h': 0.5, 'b': 1.5, 'c': 1.5}"
