,background,params,distance
42,video3_frame_hard,"{'h': 0.1, 'c': 1.5, 'b': 0.5}",38134.2979414155
40,video3_frame_hard,"{'h': 0.1, 'c': 0.5, 'b': 0.5}",38134.2979414155
44,video3_frame_hard,"{'h': 0.2, 'c': 0.5, 'b': 0.5}",38184.683712112594
46,video3_frame_hard,"{'h': 0.2, 'c': 1.5, 'b': 0.5}",38184.683712112594
58,video3_frame_hard,"{'h': 0.5, 'c': 1.5, 'b': 0.5}",40257.69810095405
56,video3_frame_hard,"{'h': 0.5, 'c': 0.5, 'b': 0.5}",40257.69810095405
48,video3_frame_hard,"{'h': 0.3, 'c': 0.5, 'b': 0.5}",40665.409406207924
50,video3_frame_hard,"{'h': 0.3, 'c': 1.5, 'b': 0.5}",40665.409406207924
54,video3_frame_hard,"{'h': 0.4, 'c': 1.5, 'b': 0.5}",41208.28013453091
52,video3_frame_hard,"{'h': 0.4, 'c': 0.5, 'b': 0.5}",41208.28013453091
59,video3_frame_hard,"{'h': 0.5, 'c': 1.5, 'b': 1.5}",79532.24916035646
57,video3_frame_hard,"{'h': 0.5, 'c': 0.5, 'b': 1.5}",79532.24916035646
53,video3_frame_hard,"{'h': 0.4, 'c': 0.5, 'b': 1.5}",80316.24154106113
55,video3_frame_hard,"{'h': 0.4, 'c': 1.5, 'b': 1.5}",80316.24154106113
49,video3_frame_hard,"{'h': 0.3, 'c': 0.5, 'b': 1.5}",81384.52952824756
51,video3_frame_hard,"{'h': 0.3, 'c': 1.5, 'b': 1.5}",81384.52952824756
47,video3_frame_hard,"{'h': 0.2, 'c': 1.5, 'b': 1.5}",82993.78165764855
45,video3_frame_hard,"{'h': 0.2, 'c': 0.5, 'b': 1.5}",82993.78165764855
43,video3_frame_hard,"{'h': 0.1, 'c': 1.5, 'b': 1.5}",83566.04194482575
41,video3_frame_hard,"{'h': 0.1, 'c': 0.5, 'b': 1.5}",83566.04194482575
